Time;Time2;Force;CoM vertical velocity;VL;SOL;VL_Smoothed Y1;SOL_Smoothed Y2;CoM vertical position;CoM vertical position2;_1;_2
s;%;N;ms-1;V;V;;;cm;mm;;
;"Normalize to [0-100] of ""Time""";;"Divided by 71.82825 on ""CoM velocity""";;;"50 pts SG smooth of ""VL""";"50 pts SG smooth of ""SOL""";Integrate of CoM velocity x=(0100) Area = 9.93124;"Multiply 10 on ""Integrated Y1""";;
2.844;74.5142857142857;677.304885;0.698396677952564;0.50766;0.0706482;2,5406E+14;0.0199389428199053;-36.1207056272147;-361.207056272147;;
2.845;74.6285714285714;676.564885;0.707821032600987;0.293427;0.0254822;2,47038E+14;0.0225578518319781;-36.0403503294688;-360.403503294688;;
2.846;74.7428571428571;675.634885;0.717233762296539;0.0453186;0.00183105;2,43124E+14;0.0259749598242316;-35.9589186269032;-359.589186269032;;
2.847;74.8571428571428;674.494885;0.726632082619378;0.213013;0.00610352;2,50726E+14;0.0288079353527826;-35.8764120071937;-358.764120071937;;
2.848;74.9714285714285;673.614885;0.736016341621984;0.204315;0.0395203;2,71624E+14;0.0327512353507441;-35.7928320972371;-357.928320972371;;
2.849;75.0857142857143;673.104885;0.745390924765621;0.0387573;0.0462341;2,88693E+14;0.0372221659020589;-35.7081802534435;-357.081802534435;;
2.85;75.2;673.374885;0.754763837257346;0.198669;0.0448608;2,95186E+14;0.0408594266692337;-35.622457124185;-356.22457124185;;
2.851;75.3142857142857;672.554885;0.764132921171779;0.0971985;0.00915527;2,94829E+14;0.0438795310704659;-35.5356630237034;-355.356630237034;;
2.852;75.4285714285714;671.914885;0.773491841953767;0.0248718;0.00747681;2,9763E+14;0.0465818363167909;-35.4477987515248;-354.477987515248;;
2.853;75.5428571428572;672.014885;0.782847003768964;0.0541687;0.0169373;3,06752E+14;0.0487312737142404;-35.3588651031977;-353.588651031977;;
2.854;75.6571428571429;671.774885;0.792201191037209;0.107269;0.00259399;3,26966E+14;0.0492297847042968;-35.2688623492088;-352.688623492088;;
2.855;75.7714285714286;671.134885;0.801549252581789;0.108337;0.00411987;3,31872E+14;0.048709125991121;-35.1777908952878;-351.777908952878;;
2.856;75.8857142857143;670.974885;0.810891745286673;0.270538;0.0120544;3,5013E+14;0.0507883926037283;-35.0856514096953;-350.856514096953;;
2.857;76;671.254885;0.820235073317515;0.447998;0.0152588;3,64216E+14;0.050892682286122;-34.9924441629179;-349.924441629179;;
2.858;76.1142857142857;671.234885;0.829580211221255;0.701599;0.0172424;3,7036E+14;0.0526176036093683;-34.8981690038014;-348.981690038014;;
2.859;76.2285714285714;671.414885;0.838926462892933;0.794983;0.0317383;3,86839E+14;0.0498704672692473;-34.8028257652806;-348.028257652806;;
2.86;76.3428571428571;671.154885;0.848272157680642;0.653076;0.135956;4,02233E+14;0.045424653498154;-34.7064144155335;-347.064144155335;;
2.861;76.4571428571429;671.234885;0.857616599479424;0.525208;0.163269;4,19082E+14;0.0399075721959727;-34.6089350579815;-346.089350579815;;
2.862;76.5714285714286;671.654885;0.866964521803012;0.301666;0.131683;4,34532E+14;0.038843471072278;-34.5103875653368;-345.103875653368;;
2.863;76.6857142857143;672.264885;0.876319614007708;0.177765;0.0491333;4,5454E+14;0.0361948503162019;-34.4107713290048;-344.107713290048;;
2.864;76.8;672.794885;0.885682641808972;0.0154114;0.0442505;4,73896E+14;0.0389490851400938;-34.3100854858153;-343.100854858153;;
2.865;76.9142857142857;672.784885;0.895049289356042;0.23056;0.0852966;4,96113E+14;0.042153050120048;-34.2083293754629;-342.083293754629;;
2.866;77.0285714285714;673.524885;0.904421018469331;0.398407;0.124664;5,0162E+14;0.0457501060578949;-34.1055025007301;-341.055025007301;;
2.867;77.1428571428571;673.874885;0.913800335126706;0.681152;0.103912;5,06094E+14;0.0503406810222202;-34.0016041376674;-340.016041376674;;
2.868;77.2571428571428;673.714885;0.923180974383509;0.571136;0.106964;5,10737E+14;0.0530089208509819;-33.896633777124;-338.96633777124;;
2.869;77.3714285714286;673.964885;0.932562240134782;0.659332;0.0611877;5,20064E+14;0.0588802767888287;-33.7905913077229;-337.905913077229;;
2.87;77.4857142857143;675.104885;0.941953181745024;1.12961;0.027771;5,4205E+14;0.0649244363734173;-33.6834761407584;-336.834761407584;;
2.871;77.6;675.774885;0.951356722855077;1.15326;0.00930786;5,62426E+14;0.0666781415422773;-33.5752870033527;-335.752870033527;;
2.872;77.7142857142857;675.364885;0.960762073838033;0.767822;0.014801;5,71231E+14;0.0676985545267163;-33.4660230721131;-334.660230721131;;
2.873;77.8285714285714;675.664885;0.970166659105534;0.145111;0.0222778;5,77197E+14;0.0717213151253709;-33.3556842873734;-333.556842873734;;
2.874;77.9428571428572;676.464885;0.979578901527613;0.327759;0.0270081;5,7621E+14;0.077668483379465;-33.2442702553372;-332.442702553372;;
